id,ra_deg,dec_deg,mag,pm_ra_mas_yr,pm_dec_mas_yr,common_name
3,0.005008,38.859286,6.610,5.24,-2.91,
19,0.053317,38.304086,6.530,-2.50,-15.07,
25,0.079365,-44.290297,6.280,58.36,-108.64,
34,0.099470,26.918238,6.430,42.20,-53.47,
43,0.129089,59.559738,6.180,-80.60,-24.07,
50,0.142871,-53.097663,6.490,52.98,-20.52,
63,0.181750,45.253333,6.360,17.38,0.22,
73,0.220457,66.847967,6.900,-20.78,18.19,
88,0.269160,-48.809859,5.710,-17.92,-6.75,
106,0.330165,49.981585,6.220,13.29,-11.19,
107,0.333802,-50.337399,5.530,7.34,10.59,
119,0.390202,44.675446,6.820,-10.61,-18.37,
121,0.396477,28.423774,6.830,-18.88,-34.10,
122,0.399379,-77.065294,4.780,-56.52,-176.95,
124,0.404245,61.222804,5.580,-2.80,-1.34,
128,0.413765,73.611877,6.500,75.54,-12.36,
133,0.423369,-40.148666,6.620,33.70,-14.84,
136,0.428642,24.253181,6.600,18.50,-28.01,
137,0.432689,42.367148,6.250,5.11,-1.77,
145,0.455989,-3.027479,5.130,18.90,-10.25,
154,0.489965,-6.013972,4.370,46.62,-41.32,
159,0.510811,-2.766163,6.930,39.33,-3.17,
171,0.540188,27.084489,5.800,778.59,-918.72,
179,0.568862,-13.407516,6.900,261.21,32.13,
181,0.573817,60.703195,6.770,-8.91,-11.05,
183,0.582976,-29.720448,5.040,9.66,14.00,
186,0.600698,8.956834,6.330,-0.87,-4.11,
194,0.623989,8.485579,5.700,-93.55,-47.50,
207,0.650342,66.098963,5.870,3.32,1.14,
238,0.739274,-20.046074,6.250,100.38,78.95,
253,0.782572,-24.145138,6.460,59.32,-3.14,
254,0.784670,42.747917,6.730,32.79,-3.84,
258,0.805328,17.552397,6.590,58.45,-52.87,
274,0.857154,63.640524,6.240,-3.27,-1.83,
277,0.859279,-36.251205,6.960,72.54,5.06,
297,0.924445,48.436927,6.800,-25.44,-8.19,
301,0.934885,-17.335970,4.550,28.57,-7.28,
302,0.965114,66.712203,6.310,7.86,-8.15,
330,1.056932,62.287665,5.900,-0.99,-0.37,
343,1.082339,-16.528890,5.780,53.77,-60.27,
345,1.084575,-29.268830,6.380,29.15,3.44,
355,1.125510,-10.509494,4.990,-6.49,-11.88,
365,1.152484,42.092561,6.110,-11.94,-12.73,
377,1.171888,-71.436858,5.590,30.00,-13.62,
379,1.174323,67.166388,5.680,95.58,23.80,
394,1.221728,34.659553,6.090,769.11,100.49,
398,1.229027,58.532174,6.610,9.06,-3.04,
399,1.233030,26.648800,6.250,112.32,-14.52,
410,1.254726,27.674800,6.470,83.36,-6.57,
417,1.265819,-0.502906,6.320,44.86,-53.47,
418,1.275552,61.313965,5.800,14.29,2.24,
424,1.290753,45.229079,6.710,-27.19,-20.38,
432,1.304179,35.571103,6.880,2.96,-37.47,
441,1.332967,-38.857231,6.930,73.31,32.46,
443,1.333941,-5.707833,4.610,-8.29,88.19,
448,1.342713,3.606107,6.910,-20.57,-6.31,
458,1.367626,-7.665328,6.970,20.67,-37.87,
472,1.415498,55.709902,6.990,8.82,-1.82,
476,1.424732,13.396282,5.550,42.59,-6.51,
496,1.486288,24.569046,6.900,34.93,-17.05,
502,1.502242,28.276961,6.620,-5.09,-4.69,
508,1.517732,40.418536,6.650,-2.99,-2.59,
518,1.564744,58.436690,5.980,247.36,17.77,
522,1.577763,-49.075094,5.700,575.21,-39.94,
525,1.583934,40.898720,6.930,82.91,10.65,
531,1.610529,64.196169,5.570,9.70,0.01,
540,1.648107,28.553437,6.680,-8.29,-13.54,
544,1.652210,29.021935,6.070,379.94,-178.34,
560,1.708436,-23.107425,6.190,97.30,-47.09,
567,1.722070,-38.877689,6.910,-11.35,8.97,
602,1.826139,-17.387031,6.200,-10.77,17.02,
619,1.896570,31.669050,6.870,8.35,-20.12,
626,1.908089,40.147996,6.730,-25.03,-17.45,
631,1.920489,-65.932275,6.830,29.30,-62.83,
635,1.933732,-2.548686,6.430,30.12,2.77,
636,1.945232,-22.508475,5.930,70.10,-34.71,
655,2.014655,-33.529334,5.670,-42.75,3.15,
664,2.050383,-2.447699,6.180,7.25,-4.87,
671,2.073136,-8.824025,5.990,-34.13,-35.67,
677,2.096533,29.090828,2.070,135.68,-162.95,Sirrah
695,2.136950,63.204049,6.410,-9.43,-3.52,
696,2.139532,-17.578040,6.110,14.92,-47.27,
699,2.170923,36.627428,6.210,-114.72,-124.60,
714,2.208326,40.494569,6.820,7.09,-7.99,
716,2.216954,25.462852,6.240,104.61,54.77,
728,2.250655,28.247556,6.470,5.90,-5.62,
729,2.259742,18.212025,5.570,140.93,-25.57,
730,2.259782,-54.001963,6.320,46.45,13.08,
737,2.264904,40.843277,6.930,126.00,-171.99,
746,2.292040,59.150218,2.280,523.39,-180.42,Alpheratz
760,2.332620,79.714641,6.010,106.17,-39.37,
761,2.337586,-27.987904,5.420,72.57,-9.99,
765,2.352249,-45.746988,3.880,122.15,-180.13,
798,2.467065,-62.296837,6.340,17.32,17.50,
803,2.479244,-2.561230,6.840,3.61,-14.97,
813,2.509103,11.145809,5.540,29.73,1.64,
814,2.509454,-82.223997,5.290,-21.66,-20.39,
829,2.533307,-78.300660,6.970,8.12,-23.32,
840,2.578539,-5.248517,5.840,34.98,-29.01,
841,2.580175,46.072271,5.010,4.51,0.21,
857,2.623580,57.165497,6.740,20.10,-1.19,
858,2.635070,33.130886,6.830,-25.63,-0.52,
860,2.644383,59.673414,6.700,7.17,-3.15,
865,2.659623,-73.224434,6.660,121.50,18.57,
873,2.678106,-12.579804,5.840,149.39,-38.22,
881,2.695168,-34.860712,6.890,85.20,-1.28,
902,2.782896,57.587915,6.680,-37.27,11.00,
906,2.790127,-3.321360,6.740,27.57,-12.04,
910,2.816284,-15.467323,4.890,-84.20,-269.31,
930,2.893404,-27.799778,5.410,4.61,17.09,
932,2.897078,-18.600678,6.930,41.63,8.79,
950,2.932867,-35.133396,5.240,169.01,113.75,
966,2.983857,-42.172035,6.530,-87.80,-45.06,
967,2.995967,48.152371,6.180,60.54,10.39,
969,3.005500,23.471740,6.580,86.82,3.73,
973,3.012596,-13.813137,6.560,-3.90,-17.19,
981,3.033543,53.623918,6.870,38.90,-12.28,
983,3.041454,-17.938218,5.290,60.48,-24.69,
1009,3.142016,44.707248,6.500,98.84,-21.64,
1026,3.199848,46.095437,6.630,94.57,-13.25,
1030,3.209352,37.693663,6.710,0.50,-2.74,
1046,3.266310,-22.470210,6.660,4.23,14.97,
1057,3.289640,16.921652,6.520,-16.55,-80.54,
1063,3.302668,62.040924,6.630,72.25,-18.94,
1067,3.308958,15.183616,2.830,4.70,-8.24,
1074,3.331452,-84.994021,5.780,10.97,17.40,
1076,3.349722,26.987625,6.240,-15.68,-32.71,
1086,3.378897,41.035727,5.710,-122.76,-146.91,
1096,3.425918,-26.022154,5.940,37.59,-78.73,
1099,3.434915,-26.284983,6.140,-3.21,9.89,
1101,3.437930,-48.684132,6.970,-17.29,-22.56,
1102,3.439241,-23.214602,6.860,127.13,-74.95,
1107,3.448293,1.383623,6.790,-25.42,-15.09,
1118,3.484101,59.999343,6.910,8.29,-10.05,
1123,3.509527,33.206085,6.220,-7.70,-18.77,
1126,3.516919,-74.912060,6.970,48.24,24.14,
1133,3.537452,26.258872,7.000,63.63,-30.49,
1140,3.561294,-55.069591,6.660,-2.89,-29.25,
1146,3.586692,-62.771979,6.630,7.22,11.18,
1147,3.586860,-21.196394,6.890,-73.81,-233.62,
1158,3.614968,-7.780538,5.130,61.01,2.36,
1161,3.616959,-14.431478,6.950,-78.95,-126.37,
1164,3.640385,41.032581,6.680,56.93,25.22,
1168,3.650450,20.206697,4.790,90.66,1.88,
1170,3.660136,-18.932686,4.440,-27.15,-73.78,
1176,3.668287,-14.805142,6.630,122.86,-40.20,
1185,3.701051,-14.177583,6.820,-71.05,-47.73,
1191,3.727089,-9.569551,5.770,22.64,-8.45,
1192,3.732479,-3.027351,6.640,-55.36,-25.33,
1193,3.732794,22.284252,6.250,45.06,-11.00,
1195,3.742532,-34.904194,6.170,76.54,-11.99,
1196,3.744924,8.821023,6.020,97.67,-24.96,
1208,3.778865,31.535738,6.340,33.23,-5.37,
1215,3.793978,27.283477,6.350,14.69,-15.37,
1233,3.824280,44.203398,6.760,6.82,-0.66,
1249,3.910832,5.843839,6.980,46.20,3.37,
1269,3.978632,61.000197,6.430,-20.94,-10.28,
1268,3.978902,-75.911609,6.490,-17.82,-2.41,
1288,4.036607,-31.446328,5.660,117.87,-27.11,
1292,4.046838,-79.851041,6.590,433.87,-57.95,
1296,4.057853,76.950763,6.350,19.77,-3.13,
1302,4.089586,43.595106,6.120,35.61,-23.43,
1319,4.141905,8.240190,6.120,-28.01,-14.69,
1325,4.164251,1.850577,6.980,4.58,12.20,
1330,4.175348,-32.688373,6.670,-27.71,-25.62,
1331,4.176448,-20.210057,6.500,-6.96,-1.53,
1333,4.179355,36.629874,6.990,-27.92,-25.46,
1339,4.190318,10.244758,6.510,2.84,8.21,
1342,4.200804,-78.780092,6.780,61.60,-25.18,
1349,4.223300,-52.651592,6.840,314.94,182.50,
1352,4.224885,49.461929,6.520,-16.27,-5.63,
1353,4.229051,23.256232,6.950,41.69,-16.08,
1354,4.237712,61.533194,5.740,-6.00,-3.46,
1366,4.273065,38.681679,4.610,-50.01,-17.90,
1372,4.287667,47.947415,5.860,4.05,-3.97,
1392,4.352098,8.876334,6.660,75.32,75.53,
1402,4.386210,-19.051086,6.460,20.45,-2.36,
1415,4.429440,51.433094,6.110,-4.19,-1.62,
1421,4.448522,1.688705,6.190,90.04,9.15,
1429,4.463468,20.227023,6.910,14.37,-11.93,
1439,4.484627,12.771514,6.540,-7.85,-19.50,
1444,4.494303,-13.455639,6.510,396.98,-0.60,
1456,4.538294,46.214355,6.830,30.32,-17.25,
1464,4.570613,-21.138455,6.690,1.37,-1.85,
1465,4.571939,11.206283,6.070,-32.75,-28.60,
1469,4.576728,-36.509894,6.670,19.40,4.34,
1473,4.582106,36.785327,4.510,-66.51,-42.48,
1486,4.619929,62.202805,6.970,-1.96,-12.30,
1493,4.659241,31.517234,5.880,58.09,-2.91,
1499,4.673423,-8.052651,6.470,417.66,-144.20,
1501,4.675625,43.791148,6.100,23.31,-2.72,
1502,4.677175,-43.235571,6.330,50.23,-0.06,
1562,4.857013,-8.823829,3.560,-14.37,-37.84,
1575,4.923247,40.729507,6.350,-25.30,-19.00,
1587,4.961998,-2.478972,6.960,-7.74,36.57,
1595,4.984515,16.250900,6.600,-12.91,-11.94,
1598,5.002138,38.228069,6.970,-140.89,-276.39,
1599,5.007976,-64.877623,4.230,1707.56,1165.36,
1600,5.012207,-17.700417,6.730,37.92,-6.72,
1602,5.021102,6.292620,6.810,-1.41,11.64,
1603,5.021538,48.865485,6.530,-3.26,-14.65,
1611,5.043836,-13.061493,6.850,53.00,12.65,
1630,5.101633,30.935615,5.890,15.27,-0.64,
1639,5.128841,48.968641,6.460,8.08,-3.43,
1642,5.137252,45.508981,7.000,73.72,-21.95,
1644,5.142140,56.556962,6.730,44.83,-16.21,
1645,5.149434,8.190248,5.380,-4.50,9.59,
1647,5.162679,-69.624912,5.500,-4.01,-0.64,
1652,5.181519,61.879596,6.800,-2.92,-0.43,
1657,5.189744,32.911229,5.790,-29.44,-17.29,
1660,5.202405,-23.630229,6.780,3.75,2.54,
1669,5.225492,32.978163,6.900,10.09,-64.80,
1670,5.227553,10.976968,6.570,-35.92,-27.47,
1684,5.267615,-2.909610,6.920,88.13,4.60,
1686,5.280108,37.968700,5.160,58.32,-39.65,
1706,5.369762,-77.426857,5.960,14.23,-6.44,
1708,5.379901,-28.981295,5.180,32.77,-71.48,
1715,5.396143,38.187160,6.860,33.61,-16.42,
1725,5.426842,67.823025,6.550,-23.50,-4.15,
1728,5.442645,-20.057993,5.610,62.63,-12.77,
1766,5.588407,-50.992603,6.680,69.66,47.78,
1772,5.606022,13.482434,6.250,63.78,22.35,
1795,5.699843,-39.262354,6.750,101.51,-24.55,
1799,5.707598,29.454304,6.950,82.08,-9.82,
1803,5.714804,-12.209585,6.390,394.27,60.45,
1809,5.739018,38.754274,6.690,3.20,5.18,
1821,5.768131,-15.942617,6.430,76.78,25.04,
1830,5.802471,-31.035782,6.550,22.06,2.68,
1849,5.842191,-29.847158,6.810,29.86,-38.29,
1892,5.972149,60.961634,6.570,-112.27,-91.00,
1905,6.021969,44.264744,6.660,-9.21,-4.07,
1921,6.065184,52.019925,5.580,13.70,-4.40,
1939,6.123622,-2.218961,6.080,-34.51,-42.42,
1948,6.158942,14.315520,6.480,15.07,-2.60,
1952,6.165300,31.373082,6.760,9.08,-11.21,
1955,6.184623,-51.043247,6.810,545.60,-254.89,
1960,6.197869,61.831063,5.380,13.67,-2.45,
1962,6.206820,-18.471719,6.900,-3.68,-65.49,
1982,6.276607,53.046785,5.720,25.80,0.30,
2001,6.342017,-39.260153,6.910,31.21,-89.13,
2006,6.350903,1.939724,5.770,-14.33,-12.89,
2021,6.413342,-77.255035,2.820,2220.12,324.37,
2024,6.423960,54.994212,6.780,-1.02,-2.59,
2025,6.424536,7.691231,6.770,39.17,-45.05,
2032,6.439938,-27.710104,6.880,40.40,-35.47,
2036,6.463501,71.807123,6.910,-1.39,1.48,
2058,6.515354,20.146835,6.670,-5.27,6.77,
2074,6.550422,56.779340,6.710,-49.64,-45.66,
2072,6.550484,-43.679909,3.930,106.14,32.83,
2080,6.568690,3.825755,6.900,16.80,0.78,
2081,6.570281,-42.305122,2.400,232.76,-353.64,
2086,6.590579,-18.693603,6.240,21.65,-12.07,
2087,6.590892,49.049007,6.940,-2.07,-6.46,
2100,6.655722,-0.049536,6.160,69.63,1.49,
2101,6.664377,56.641207,6.580,14.85,0.05,
2106,6.674638,-69.307055,6.980,54.31,-22.46,
2135,6.768786,25.042108,6.660,102.06,-16.89,
2142,6.780451,80.052148,6.530,23.37,-2.91,
2151,6.801859,49.985730,6.950,4.06,-1.89,
2159,6.811197,-25.547133,5.990,32.93,-15.26,
2178,6.879229,16.025459,6.440,89.80,9.88,
2184,6.906408,-20.134536,6.780,59.55,4.96,
2210,6.982136,-33.007045,4.860,-20.48,-50.39,
2213,6.993666,19.514081,6.400,-22.30,-17.33,
2219,7.011852,17.893075,5.010,114.91,20.48,
2224,7.052886,16.445101,6.050,18.37,-14.57,
2225,7.056605,44.394489,5.180,84.10,-15.33,
2227,7.058938,-29.040206,6.750,-44.83,-26.99,
2235,7.083467,10.190341,6.050,32.79,-203.14,
2237,7.088207,-20.334777,6.440,-118.11,-112.69,
2240,7.110073,-39.914902,5.420,135.95,-41.36,
2243,7.119123,32.437792,6.870,-26.66,-19.52,
2246,7.138140,-11.237219,6.860,98.96,-10.24,
2256,7.179087,-50.532846,6.260,159.44,-5.33,
2270,7.236105,36.899701,6.280,-4.42,-2.76,
2304,7.346350,-40.665412,6.820,22.13,-7.85,
2312,7.372230,-3.469288,6.950,37.84,4.49,
2320,7.400263,62.064167,7.000,54.36,-5.77,
2323,7.412556,-2.840326,6.890,90.88,-40.26,
2330,7.454137,-32.115926,6.590,13.12,-22.97,
2337,7.465869,-14.864027,6.150,147.08,-33.98,
2353,7.509804,-3.957297,5.720,8.61,-14.51,
2355,7.530566,29.751696,5.200,43.56,-57.18,
